order_id,product,region,quantity,price,timestamp
ORD-0061,Headset,Pampanga,20,632.84,2026-05-12T13:47:22.567338
ORD-0062,Webcam,Davao,14,1024.75,2026-05-12T13:46:22.567347
ORD-0063,Webcam,Iloilo,11,2810.87,2026-05-12T13:45:22.567356
ORD-0064,Headset,Iloilo,18,1895.32,2026-05-12T13:44:22.567365
ORD-0065,Mouse,Davao,7,3634.75,2026-05-12T13:43:22.567376
ORD-0066,Webcam,Pampanga,2,3636.13,2026-05-12T13:42:22.567385
ORD-0067,Monitor,NCR,10,4431.55,2026-05-12T13:41:22.567395
ORD-0068,Webcam,Iloilo,10,872.68,2026-05-12T13:40:22.567404
ORD-0069,Webcam,Pampanga,1,4700.52,2026-05-12T13:39:22.567413
ORD-0070,Webcam,Pampanga,10,4803.76,2026-05-12T13:38:22.567422
ORD-0071,Monitor,Iloilo,11,1045.52,2026-05-12T13:37:22.567431
ORD-0072,Webcam,Cebu,6,1596.65,2026-05-12T13:36:22.567441
ORD-0073,Monitor,Iloilo,17,4732.26,2026-05-12T13:35:22.567450
ORD-0074,Webcam,Pampanga,4,1519.63,2026-05-12T13:34:22.567459
ORD-0075,Mouse,Cebu,17,3507.2,2026-05-12T13:33:22.567468
ORD-0076,Keyboard,Pampanga,9,3323.1,2026-05-12T13:32:22.567477
ORD-0077,Headset,Pampanga,12,3847.79,2026-05-12T13:31:22.567488
ORD-0078,Headset,NCR,12,3405.3,2026-05-12T13:30:22.567498
ORD-0079,Monitor,Pampanga,5,2537.19,2026-05-12T13:29:22.567507
ORD-0080,Monitor,Iloilo,9,2257.74,2026-05-12T13:28:22.567517
ORD-0081,Mouse,Davao,12,1815.22,2026-05-12T13:27:22.567526
ORD-0082,Mouse,Iloilo,15,3562.31,2026-05-12T13:26:22.567535
ORD-0083,Headset,Pampanga,6,3690.43,2026-05-12T13:25:22.567544
ORD-0084,Mouse,Davao,11,2710.61,2026-05-12T13:24:22.567553
ORD-0085,Keyboard,Pampanga,7,4619.94,2026-05-12T13:23:22.567562
ORD-0086,Keyboard,NCR,4,4326.57,2026-05-12T13:22:22.567571
ORD-0087,Mouse,Cebu,16,1723.64,2026-05-12T13:21:22.567580
ORD-0088,Keyboard,NCR,9,2417.25,2026-05-12T13:20:22.567590
ORD-0089,Keyboard,Cebu,20,4529.04,2026-05-12T13:19:22.567599
ORD-0090,Keyboard,Pampanga,4,3934.08,2026-05-12T13:18:22.567609
ORD-0091,Headset,Pampanga,20,2956.49,2026-05-12T13:17:22.567618
ORD-0092,Keyboard,Pampanga,13,1404.25,2026-05-12T13:16:22.567627
ORD-0093,Webcam,Davao,15,1601.83,2026-05-12T13:15:22.567638
ORD-0094,Headset,Iloilo,20,874.34,2026-05-12T13:14:22.567647
ORD-0095,Webcam,NCR,5,3243.15,2026-05-12T13:13:22.567656
ORD-0096,Mouse,Iloilo,2,2779.12,2026-05-12T13:12:22.567665
ORD-0097,Monitor,Cebu,11,4710.24,2026-05-12T13:11:22.567674
ORD-0098,Headset,Davao,4,3269.86,2026-05-12T13:10:22.567684
ORD-0099,Monitor,Cebu,16,1629.16,2026-05-12T13:09:22.567692
ORD-0100,Mouse,Davao,8,1792.21,2026-05-12T13:08:22.567701
